x,y,flux(W/m2)
31.425,0.025,0
31.375,0.025,0
31.325,0.025,0
31.275,0.025,0
31.225,0.025,0
31.175,0.025,0
31.125,0.025,0
31.075,0.025,0
31.025,0.025,0
30.975,0.025,0
30.925,0.025,0
30.875,0.025,0
30.825,0.025,0
30.775,0.025,0
30.725,0.025,0
30.675,0.025,0
30.625,0.025,0
30.575,0.025,0
30.525,0.025,0
30.475,0.025,0
30.425,0.025,0
30.375,0.025,0
30.325,0.025,0
30.275,0.025,0
30.225,0.025,0
30.175,0.025,0
30.125,0.025,0
30.075,0.025,0
30.025,0.025,0
29.975,0.025,0
29.925,0.025,0
29.875,0.025,0
29.825,0.025,0
29.775,0.025,0
29.725,0.025,0
29.675,0.025,0
29.625,0.025,0
29.575,0.025,0
29.525,0.025,0
29.475,0.025,0
29.425,0.025,0
29.375,0.025,0
29.325,0.025,0
29.275,0.025,0
29.225,0.025,0
29.175,0.025,0
29.125,0.025,0
29.075,0.025,0
29.025,0.025,0
28.975,0.025,0
28.925,0.025,0
28.875,0.025,0
28.825,0.025,0
28.775,0.025,0
28.725,0.025,0
28.675,0.025,0
28.625,0.025,0
28.575,0.025,0
28.525,0.025,0
28.475,0.025,0
28.425,0.025,0
28.375,0.025,0
28.325,0.025,0
28.275,0.025,0
28.225,0.025,0
28.175,0.025,0
28.125,0.025,0
28.075,0.025,0
28.025,0.025,0
27.975,0.025,0
27.925,0.025,0
27.875,0.025,0
27.825,0.025,0
27.775,0.025,0
27.725,0.025,0
27.675,0.025,0
27.625,0.025,0
27.575,0.025,0
27.525,0.025,0
27.475,0.025,0
27.425,0.025,0
27.375,0.025,0
27.325,0.025,0
27.275,0.025,0
27.225,0.025,0
27.175,0.025,0
27.125,0.025,0
27.075,0.025,0
27.025,0.025,0
26.975,0.025,0
26.925,0.025,0
26.875,0.025,0
26.825,0.025,0
26.775,0.025,0
26.725,0.025,0
26.675,0.025,0
26.625,0.025,0
26.575,0.025,0
26.525,0.025,0
26.475,0.025,0
26.425,0.025,0
26.375,0.025,0
26.325,0.025,0
26.275,0.025,0
26.225,0.025,0
26.175,0.025,0
26.125,0.025,0
26.075,0.025,0
26.025,0.025,0
25.975,0.025,0
25.925,0.025,0
25.875,0.025,0
25.825,0.025,0
25.775,0.025,0
25.725,0.025,0
25.675,0.025,0
25.625,0.025,0
25.575,0.025,0
25.525,0.025,0
25.475,0.025,0
25.425,0.025,0
25.375,0.025,0
25.325,0.025,0
25.275,0.025,0
25.225,0.025,0
25.175,0.025,0
25.125,0.025,0
25.075,0.025,0
25.025,0.025,0
24.975,0.025,0
24.925,0.025,0
24.875,0.025,0
24.825,0.025,0
24.775,0.025,0
24.725,0.025,0
24.675,0.025,0
24.625,0.025,0
24.575,0.025,0
24.525,0.025,0
24.475,0.025,0
24.425,0.025,0
24.375,0.025,0
24.325,0.025,0
24.275,0.025,0
24.225,0.025,0
24.175,0.025,0
24.125,0.025,0
24.075,0.025,0
24.025,0.025,0
23.975,0.025,0
23.925,0.025,0
23.875,0.025,0
23.825,0.025,0
23.775,0.025,0
23.725,0.025,0
23.675,0.025,0
23.625,0.025,0
23.575,0.025,0
23.525,0.025,0
23.475,0.025,0
23.425,0.025,0
23.375,0.025,0
23.325,0.025,0
23.275,0.025,0
23.225,0.025,0
23.175,0.025,0
23.125,0.025,0
23.075,0.025,0
23.025,0.025,0
22.975,0.025,0
22.925,0.025,0
22.875,0.025,0
22.825,0.025,0
22.775,0.025,0
22.725,0.025,0
22.675,0.025,0
22.625,0.025,0
22.575,0.025,0
22.525,0.025,0
22.475,0.025,0
22.425,0.025,0
22.375,0.025,0
22.325,0.025,0
22.275,0.025,0
22.225,0.025,0
22.175,0.025,0
22.125,0.025,0
22.075,0.025,0
22.025,0.025,0
21.975,0.025,0
21.925,0.025,0
21.875,0.025,0
21.825,0.025,0
